GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
3b36faf6-0037-4a6c-aa5d-9a696c3d86bb,1,4edca9b0-be1c-11ee-be48-9583f8ba7ca2,cbc46918-597c-4c29-9cd9-6c4cb33b2917,2024-01-28,14:32:03.16,2024-01-28,20:32:03.16,2024-01-28T14:32:03.1680000-06:00,2024-01-28T20:32:03.1680000Z,AUB_PRC,AUB_TIG,InPlay,Double,NoShift,80.23634,50.3207,147.53224,32.35006,87.27979,-63.73808,139.8796,-39.96104,259.87097,-129.5178,295.98988,-3.26417,246.65066,116.19238
3b36faf6-0037-4a6c-aa5d-9a696c3d86bb,2,6ac37460-be1c-11ee-be48-9583f8ba7ca2,4375ed8f-ac4a-49c8-8cdd-e8df431b844c,2024-01-28,14:32:49.66,2024-01-28,20:32:49.66,2024-01-28T14:32:49.6620000-06:00,2024-01-28T20:32:49.6620000Z,AUB_PRC,AUB_TIG,BallCalled,Undefined,NoShift,96.30007,73.72587,142.59984,44.66314,88.0679,-60.35276,141.19665,-14.29623,258.11002,-130.63546,300.95334,-5.90677,248.45121,119.5958
3b36faf6-0037-4a6c-aa5d-9a696c3d86bb,3,782d23d0-be1c-11ee-be48-9583f8ba7ca2,762b13ad-d24e-4e7b-936e-42d39ff6bedd,2024-01-28,14:33:12.42,2024-01-28,20:33:12.42,2024-01-28T14:33:12.4200000-06:00,2024-01-28T20:33:12.4200000Z,AUB_PRC,AUB_TIG,StrikeCalled,Undefined,NoShift,95.12186,72.82651,143.10496,44.32128,90.69222,-63.30349,143.82761,-56.99249,258.97566,-129.32161,306.63554,-6.76135,247.45141,118.75068
3b36faf6-0037-4a6c-aa5d-9a696c3d86bb,4,86ce68e0-be1c-11ee-be48-9583f8ba7ca2,c376b16f-e4d3-4c3d-944b-59ecef6c386a,2024-01-28,14:33:36.95,2024-01-28,20:33:36.95,2024-01-28T14:33:36.9540000-06:00,2024-01-28T20:33:36.9540000Z,AUB_PRC,AUB_TIG,StrikeSwinging,Undefined,NoShift,96.80532,73.54513,143.60085,43.88541,91.32384,-62.5451,136.44617,-65.10357,259.2777,-130.69434,302.2151,-5.5016,247.04715,117.82416
3b36faf6-0037-4a6c-aa5d-9a696c3d86bb,5,96e81d20-be1c-11ee-be48-9583f8ba7ca2,4aa9b924-7d65-4845-80e0-b3956048a5f6,2024-01-28,14:34:04.01,2024-01-28,20:34:04.01,2024-01-28T14:34:04.0140000-06:00,2024-01-28T20:34:04.0140000Z,AUB_PRC,AUB_TIG,FoulBall,Undefined,NoShift,93.8719,71.81861,142.54504,42.50573,89.83887,-62.3032,139.24619,-29.34244,262.77588,-131.72508,306.56001,-5.73184,246.33765,117.51235
3b36faf6-0037-4a6c-aa5d-9a696c3d86bb,6,a84e75a0-be1c-11ee-be48-9583f8ba7ca2,a7828a42-0d9a-495b-b8c4-529e339331b9,2024-01-28,14:34:33.17,2024-01-28,20:34:33.17,2024-01-28T14:34:33.1760000-06:00,2024-01-28T20:34:33.1760000Z,AUB_PRC,AUB_TIG,BallCalled,Undefined,NoShift,92.92781,71.94921,143.47907,43.54471,90.16493,-59.75192,139.5987,-29.9063,261.36882,-132.4415,302.22979,-6.70012,247.7775,118.17063
3b36faf6-0037-4a6c-aa5d-9a696c3d86bb,7,b742e3c0-be1c-11ee-be48-9583f8ba7ca2,5df1b094-2fc8-49b5-a69b-6d769f55f4be,2024-01-28,14:34:58.28,2024-01-28,20:34:58.28,2024-01-28T14:34:58.2840000-06:00,2024-01-28T20:34:58.2840000Z,AUB_PRC,AUB_TIG,StrikeSwinging,Undefined,LeftInfieldShift,94.7667,70.45766,130.11219,-17.56672,89.94478,-62.19854,136.08072,-82.22085,262.06658,-130.90266,300.70113,-9.31058,246.48835,118.07578
3b36faf6-0037-4a6c-aa5d-9a696c3d86bb,8,cc223660-be1c-11ee-be48-9583f8ba7ca2,db254220-0e72-4a95-b02d-61d719844a6d,2024-01-28,14:35:33.26,2024-01-28,20:35:33.26,2024-01-28T14:35:33.2600000-06:00,2024-01-28T20:35:33.2600000Z,AUB_PRC,AUB_TIG,StrikeCalled,Undefined,NoShift,87.29369,53.43941,139.26431,22.41497,90.4826,-73.36442,136.72256,-42.13912,260.92638,-130.67817,304.95972,-3.97174,254.46759,110.81414
3b36faf6-0037-4a6c-aa5d-9a696c3d86bb,9,d81376a0-be1c-11ee-be48-9583f8ba7ca2,be91429a-1a78-42c5-96d5-19d2612b80d9,2024-01-28,14:35:53.32,2024-01-28,20:35:53.32,2024-01-28T14:35:53.3250000-06:00,2024-01-28T20:35:53.3250000Z,AUB_PRC,AUB_TIG,BallCalled,Undefined,NoShift,87.28693,55.5051,142.35399,24.68593,89.85248,-69.57512,137.93071,-41.78062,258.98075,-131.1863,302.55676,-3.26799,255.78059,112.2884
3b36faf6-0037-4a6c-aa5d-9a696c3d86bb,10,e72298b0-be1c-11ee-be48-9583f8ba7ca2,2db00cec-fd8f-4360-bcfd-a0a2043377cf,2024-01-28,14:36:18.59,2024-01-28,20:36:18.59,2024-01-28T14:36:18.5950000-06:00,2024-01-28T20:36:18.5950000Z,AUB_PRC,AUB_TIG,InPlay,HomeRun,NoShift,87.44014,55.7088,141.10116,23.51703,88.20581,-68.45993,136.74457,-42.33655,258.59016,-130.44146,301.06863,-2.87277,254.91167,112.88485
