GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
ac5f6aa6-d23c-4841-b2f9-ea6a2791d775,1,7baa1d50-b710-11ee-b1a8-d5b57b0f2c77,157d3366-dca6-464b-8b42-dcdad6703f5c,2024-01-19,15:19:49.81,2024-01-19,21:19:49.81,2024-01-19T15:19:49.8160000-06:00,2024-01-19T21:19:49.8160000Z,AUB_PRC,AUB_TIG,FoulBall,Undefined,NoShift,,,,,,,,,,,,,,
ac5f6aa6-d23c-4841-b2f9-ea6a2791d775,2,880e6ab0-b710-11ee-b1a8-d5b57b0f2c77,a57f14dd-fa18-4592-800f-8d4a47a514ee,2024-01-19,15:20:10.56,2024-01-19,21:20:10.56,2024-01-19T15:20:10.5650000-06:00,2024-01-19T21:20:10.5650000Z,AUB_PRC,AUB_TIG,InPlay,Undefined,NoShift,,,,,,,,,310.70482,-131.80165,,,,
ac5f6aa6-d23c-4841-b2f9-ea6a2791d775,3,97041150-b710-11ee-b1a8-d5b57b0f2c77,c7dbc539-29cd-4017-b2d0-7dda79997950,2024-01-19,15:20:35.69,2024-01-19,21:20:35.69,2024-01-19T15:20:35.6960000-06:00,2024-01-19T21:20:35.6960000Z,AUB_PRC,AUB_TIG,FoulBall,Undefined,NoShift,,,,,,,,,250.84509,-175.44729,,,,
ac5f6aa6-d23c-4841-b2f9-ea6a2791d775,4,a7f8e350-b710-11ee-b1a8-d5b57b0f2c77,790c6769-e04c-4681-bae9-e4358eea8b50,2024-01-19,15:21:04.09,2024-01-19,21:21:04.09,2024-01-19T15:21:04.0950000-06:00,2024-01-19T21:21:04.0950000Z,AUB_PRC,AUB_TIG,StrikeSwinging,Undefined,NoShift,,,,,,,,,219.29579,-171.25843,,,,
ac5f6aa6-d23c-4841-b2f9-ea6a2791d775,5,b26c8440-b710-11ee-b1a8-d5b57b0f2c77,773376b0-1c05-4231-bedc-1d1b8f0a7de0,2024-01-19,15:21:21.61,2024-01-19,21:21:21.61,2024-01-19T15:21:21.6130000-06:00,2024-01-19T21:21:21.6130000Z,AUB_PRC,AUB_TIG,BallCalled,Undefined,NoShift,,,,,,,,,226.95789,-173.03203,,,,
ac5f6aa6-d23c-4841-b2f9-ea6a2791d775,6,bc6a31e0-b710-11ee-b1a8-d5b57b0f2c77,fa1ca4c1-5fc8-4dce-95d0-1b567c5c7210,2024-01-19,15:21:38.44,2024-01-19,21:21:38.44,2024-01-19T15:21:38.4490000-06:00,2024-01-19T21:21:38.4490000Z,AUB_PRC,AUB_TIG,StrikeCalled,Undefined,NoShift,,,,,,,,,230.16053,-166.62369,,,,
ac5f6aa6-d23c-4841-b2f9-ea6a2791d775,7,c8f80040-b710-11ee-b1a8-d5b57b0f2c77,cc89ea0b-91ab-408a-b2e3-a360a0dcf32b,2024-01-19,15:21:59.48,2024-01-19,21:21:59.48,2024-01-19T15:21:59.4890000-06:00,2024-01-19T21:21:59.4890000Z,AUB_PRC,AUB_TIG,BallCalled,Undefined,NoShift,,,,,,,,,230.95948,-166.94324,,,,
ac5f6aa6-d23c-4841-b2f9-ea6a2791d775,8,d52d9c80-b710-11ee-b1a8-d5b57b0f2c77,fed007aa-e42a-4840-9577-f4559862c34c,2024-01-19,15:22:19.70,2024-01-19,21:22:19.70,2024-01-19T15:22:19.7090000-06:00,2024-01-19T21:22:19.7090000Z,AUB_PRC,AUB_TIG,StrikeCalled,Undefined,NoShift,,,,,,,,,241.45976,-159.68251,,,,
ac5f6aa6-d23c-4841-b2f9-ea6a2791d775,9,e21830e0-b710-11ee-b1a8-d5b57b0f2c77,a5e0b5a1-3ee1-4951-a86c-8b4478f44b59,2024-01-19,15:22:41.65,2024-01-19,21:22:41.65,2024-01-19T15:22:41.6560000-06:00,2024-01-19T21:22:41.6560000Z,AUB_PRC,AUB_TIG,InPlay,Undefined,NoShift,,,,,,,,,239.28253,-159.12137,,,,
ac5f6aa6-d23c-4841-b2f9-ea6a2791d775,10,ef7fbd70-b710-11ee-b1a8-d5b57b0f2c77,1d905b9f-6749-479d-8ac4-10c49a0f095a,2024-01-19,15:23:04.14,2024-01-19,21:23:04.14,2024-01-19T15:23:04.1410000-06:00,2024-01-19T21:23:04.1410000Z,AUB_PRC,AUB_TIG,FoulBall,Undefined,NoShift,,,,,,,,,245.68698,-155.15847,,,,
